... building the model
... training
epoch 367, test error 101, learning_rate=0.4805983603
epoch 368, test error 105, learning_rate=0.479637175798
epoch 369, test error 97, learning_rate=0.478677928448
epoch 370, test error 103, learning_rate=0.477720588446
epoch 371, test error 102, learning_rate=0.476765155792
epoch 372, test error 102, learning_rate=0.475811630487
epoch 373, test error 100, learning_rate=0.474860012531
epoch 374, test error 103, learning_rate=0.473910301924
epoch 375, test error 102, learning_rate=0.472962498665
epoch 376, test error 108, learning_rate=0.472016572952
epoch 377, test error 105, learning_rate=0.471072554588
epoch 378, test error 103, learning_rate=0.470130413771
epoch 379, test error 101, learning_rate=0.469190150499
epoch 380, test error 95, learning_rate=0.468251794577
epoch 381, test error 97, learning_rate=0.4673153162
epoch 382, test error 95, learning_rate=0.466380685568
epoch 383, test error 98, learning_rate=0.465447932482
epoch 384, test error 104, learning_rate=0.464517056942
epoch 385, test error 101, learning_rate=0.463588029146
epoch 386, test error 95, learning_rate=0.462660878897
epoch 387, test error 100, learning_rate=0.461735576391
epoch 388, test error 98, learning_rate=0.46081212163
epoch 389, test error 101, learning_rate=0.459890514612
epoch 390, test error 105, learning_rate=0.458970755339
epoch 391, test error 100, learning_rate=0.458052814007
epoch 392, test error 107, learning_rate=0.457136720419
epoch 393, test error 102, learning_rate=0.456222444773
epoch 394, test error 100, learning_rate=0.45531001687
epoch 395, test error 106, learning_rate=0.45439940691
epoch 396, test error 98, learning_rate=0.453490614891
epoch 397, test error 103, learning_rate=0.452583640814
epoch 398, test error 101, learning_rate=0.451678484678
epoch 399, test error 97, learning_rate=0.450775146484
epoch 400, test error 100, learning_rate=0.44987359643
epoch 401, test error 94, learning_rate=0.448973864317
epoch 402, test error 98, learning_rate=0.448075920343
epoch 403, test error 100, learning_rate=0.447179794312
epoch 404, test error 105, learning_rate=0.446285456419
epoch 405, test error 102, learning_rate=0.445392906666
epoch 406, test error 98, learning_rate=0.444502145052
epoch 407, test error 97, learning_rate=0.443613141775
epoch 408, test error 98, learning_rate=0.442725926638
